trial,prauc,recall,precision,accuracy,ROC-AUC,F1,F2,max_depth,min_child_weight,subsample,learning_rate,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,n_estimators,best_trial
0,0.6624223156269866,0.5030438961871195,0.6462678375411636,0.636066233831597,0.6895675630363054,0.5657317878806077,0.52637460885114,12,0.1323975311991884,0.25710058069696073,0.11688064229330296,0.5360561581350058,8.652232829055308,2.0051939389075812,0.002985229502216524,0.943280004366147,184,False
2,0.6688811401414801,0.595856029050518,0.6264316191331687,0.6421057929437818,0.6966882200879032,0.610761399091357,0.6017300142370249,12,0.4367239671790676,0.42075075842709797,0.019166907353412796,0.5685292402869848,4.459994695336922,2.5460934090133267,0.00833582119457064,1.080000699564137,483,False
3,0.6686323457164962,0.6199935917975008,0.620059816278573,0.6419044743067089,0.6975333350859416,0.6200267022696929,0.6200068355620114,7,9.00335852361522,0.460801893066918,0.007874497044328412,0.5078268973113813,2.512959628168685,5.1047024975826085,0.006517442176711155,1.1303640997055198,935,False
4,0.6635931012676588,0.5654170671793228,0.6322703929296548,0.6402435955508581,0.6926478685407214,0.596977898060442,0.577632296781233,11,2.500040653176038,0.31022084217298007,0.011535203128689183,0.2251533642609921,7.345546198843865,0.0017582963112516955,0.33908051450196197,1.0138126089158368,1056,False
5,0.6677143103440482,0.5332692513083414,0.6449237923017308,0.6417031556696361,0.6959189836726654,0.5838059047062263,0.5523963357967872,9,0.1297148062534599,0.9083258345099792,0.011408804367938605,0.6374124084391521,7.7438964339958964,0.7802366524902918,0.49256876078971235,0.9886818652997603,830,False
6,0.6675610068960389,0.664423795791947,0.6088275592092386,0.640696562484272,0.6970024747356546,0.6354118788621623,0.6525068177050556,9,0.20845266284746292,0.8284559827083153,0.007280284505156655,0.8628516485220339,6.137679471314405,0.00514198051620135,0.035144938332400504,1.1954497196140892,953,False
7,0.666669393342753,0.4761294456904838,0.6619153674832963,0.6385323871357391,0.6950292757749146,0.5538576220648528,0.5044470093013782,8,40.02463163982353,0.5232347522250744,0.01487582137421651,0.8005340384634494,7.074335123474967,1.1523007279790491,0.16117139890255994,0.8862949469956426,1030,False
8,0.6618999613845435,0.6214888390473139,0.6139480903144123,0.6374754642911068,0.6906122100391554,0.6176954514091608,0.6199659066695078,7,0.4322038680217091,0.4084015484363822,0.05715218078133474,0.5057931299321718,2.4553498152469935,0.017232468846458154,0.0013824371047505579,1.190004583848552,95,False
9,0.6648586964301162,0.5928655345508919,0.6258879242304657,0.6411495294176859,0.6942651121641807,0.6089293549802545,0.5991882731374538,9,1.305185260872776,0.5224643059629033,0.06360166124523721,0.4896474745359964,5.697298409822458,0.09554246256818816,0.26984284169279343,1.0155345109705562,174,False
10,0.6680432633366835,0.6034390686745701,0.6241025074560919,0.6418541446474407,0.6964137955965577,0.6135968722849696,0.6074615632727663,11,1.448208127246243,0.2878868049771251,0.006184769797637726,0.7873814960838221,6.189117734643242,0.4024601065405899,4.492683812331705,1.094534678318764,1439,False
