trial,prauc,recall,precision,accuracy,ROC-AUC,F1,F2,max_depth,min_child_weight,subsample,learning_rate,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,n_estimators,best_trial
0,0.6689158929152803,0.556872797180391,0.6399116347569955,0.6435150234032916,0.6982393545977572,0.5955113928387871,0.5717105263157894,10,0.5359867392432577,0.45177566081222553,0.0072588076898604855,0.29909350091067133,7.974385739620743,0.0018856720423900994,0.025010462671436466,1.0242872382254604,2123,False
1,0.6634202599749854,0.5373277795578341,0.6345062429057888,0.6361165634908652,0.6912786891238807,0.5818875780707842,0.5543068685132544,10,5.287580522100021,0.24658373498321462,0.17047644441794418,0.2389893030449569,8.000867806816212,0.03243235082181331,3.214307202305622,1.0216724052122552,215,False
2,0.6706615711907447,0.6003417707999573,0.6304396590399283,0.6458301877296291,0.6993364578555976,0.6150227036489961,0.6061292270531401,7,0.20822330067644593,0.9916170702451124,0.00975057936596842,0.2546582527958463,5.893223331950743,0.0036703394324617525,6.276358280212652,1.0912176327509597,1631,False
3,0.6697143569115183,0.510199722311225,0.655011655011655,0.6425587598771957,0.6992482886502616,0.5736071085494716,0.5338026595150296,9,2.2910140701551045,0.9642521726109121,0.04295507580244998,0.2800824991503126,3.9564474856603074,9.183999179514004,0.0021456468146620103,0.9387374048772078,446,False
5,0.6718679063308572,0.5982057033002243,0.6281260513625659,0.6437666716996326,0.701052910896199,0.612800875273523,0.6039595419353447,8,22.140291790935404,0.2735497797057928,0.00830355434513605,0.794168694173363,3.4309005625755407,0.006379520764496429,1.0440865976814482,1.065596545113935,1015,False
6,0.6709729875058708,0.6199935917975008,0.622319897084048,0.643615682721828,0.7004408602589969,0.6211545663688406,0.6204574604531852,11,66.95267897620263,0.5427890678851621,0.11161086588125257,0.8654198957162453,4.42640000993846,0.003416585831099092,0.01048127946688346,1.0742497087052294,99,False
7,0.6703463102863823,0.5246181779344228,0.6518911745189118,0.6439679903367054,0.700739916825118,0.5813705763995739,0.545935492475604,7,38.14849039749793,0.29465197429232604,0.03425464026190545,0.4976097833315756,0.6004246133312119,0.38845670464569115,0.056933499402413254,0.909953338988158,429,False
8,0.6710265290771811,0.5971376695503577,0.6311808534657937,0.6457295284110927,0.6999032853047522,0.6136875034301081,0.6036493198013388,11,22.376542455790783,0.9074130904670796,0.028788288784348283,0.45610737599201034,6.526623897185906,0.009582752909760277,6.959008930713164,1.0733709414039068,803,False
9,0.6692741461095365,0.5170351383103706,0.6523379598436868,0.6425587598771957,0.6985270354760229,0.5768589132507149,0.5394112272413255,9,91.71191558057497,0.47092403980985786,0.1067212465180476,0.7697420232067469,6.920505124585432,0.0024666809332321215,0.01710847706459946,0.9248558559396989,106,False
10,0.669365958504761,0.4549823774431272,0.6787762906309751,0.6417031556696361,0.6992276365413445,0.5447918664876271,0.4871020856201976,7,60.579696930846325,0.42066015333824175,0.06141074585260463,0.924072764234442,4.955210288959636,0.001295108494205037,0.004071760072242461,0.8047840330586904,268,False
11,0.6703962546107465,0.6412474634198441,0.6151639344262295,0.6419044743067089,0.6991461768569956,0.6279349474454845,0.6358552910277048,12,0.2955564578726532,0.4293774244202319,0.007162954207102238,0.7876296509439933,9.374710033863666,0.7260997204195613,0.002609860089235876,1.1604196862133984,1968,False
