trial,prauc,recall,precision,accuracy,ROC-AUC,F1,F2,max_depth,min_child_weight,subsample,learning_rate,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,n_estimators,best_trial
0,0.6730597601276258,0.5694755954288155,0.6421001926782274,0.6475413961447481,0.7013939985449286,0.6036112526178752,0.5826558265582655,8,23.642425688249574,0.7823432790197937,0.04239121682991366,0.8799122823920253,1.834409589209074,5.261323303011832,1.8120203025466357,0.9549690787809573,346,False
1,0.6685327098186127,0.5664851009291894,0.6377299507033786,0.6440686496552418,0.6967619384082645,0.6,0.5794314929318971,6,28.638152195049773,0.6909682507445224,0.19903631003157693,0.3286457855324719,3.512392625091861,0.3119763714756739,0.3419546092852233,0.9684051684147322,185,False
2,0.64301132554245,0.5205596496849301,0.6268004115226338,0.6280134883486839,0.674897729109759,0.5687613046268744,0.5388255063235164,9,0.2556365833285489,0.2296093280343576,0.14341765989719116,0.5665798261524024,0.5848374031770487,0.002259673233207845,0.04205060941587588,0.9656846545536378,21,False
3,0.6705898168058191,0.4954608565630674,0.6602618844292627,0.6421057929437818,0.6994255013318502,0.5661114161937885,0.5214937722019874,9,1.9933741252508215,0.7014452394853139,0.06937328538846198,0.31032635967786293,2.0390702860513654,0.017060971167486238,8.81528395002584,0.8410568154241853,180,False
4,0.6669893883436124,0.6260813841717399,0.6151747297722742,0.639237002365494,0.6956519345714351,0.6205801397416896,0.6238692237287414,9,23.02100956883459,0.9247864988652554,0.016001076873566975,0.2611480195245981,9.953403594359765,0.0014175554106996254,0.001833250219886808,1.1449317726232615,1259,False
5,0.6684204646293385,0.5969240628003845,0.6255876427132303,0.6417031556696361,0.6969204762564386,0.6109198229217905,0.6024447031431898,11,31.750444767304884,0.32485695362822087,0.035841681782084286,0.22362751540074186,5.493306629408633,0.002425935145089285,0.023604649630121547,1.0731336038461785,886,False
6,0.664636831807371,0.522695717184663,0.6468411313772139,0.6405959031657356,0.6928319940621146,0.5781794553724379,0.5435603536363233,11,7.522350229677958,0.28889014869998286,0.12793711607842928,0.7241649470561919,9.644957760585717,0.006813399505826939,0.006544563688859823,0.936696126319391,167,False
7,0.6727919269880339,0.6610060877923742,0.6106561420818944,0.6416528260103679,0.7012737049663813,0.6348343419837932,0.650282640216866,8,64.89619963430044,0.5618916750623872,0.012461039266854644,0.7995886847824516,1.9570646382985257,1.4314723225643247,1.6763935902363276,1.1642067991663425,831,False
8,0.6682441294633844,0.5715048595535619,0.6309397476712651,0.6405455735064673,0.6947008040588292,0.5997534185160278,0.582478827857967,6,18.236309910554443,0.2067126283028852,0.14540536294385706,0.797285406074709,8.214186775240954,0.001230387486844559,2.7898941180708707,1.0176030778836338,283,False
9,0.6677595579635198,0.5263270319342092,0.6518518518518519,0.6443202979515829,0.6971131716660018,0.5824026472847604,0.5474095796676441,10,3.2904016127659226,0.9723885362350912,0.08386642259750231,0.5820918914202426,4.243092758390382,0.07416941730232633,0.29350721719997547,0.9320459508834841,163,False
