trial,prauc,recall,precision,accuracy,ROC-AUC,F1,F2,max_depth,min_child_weight,subsample,learning_rate,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,n_estimators,best_trial
0,0.6500969073010237,0.5964968493004379,0.6077919251278703,0.6284664552820978,0.678684653916503,0.6020914187149633,0.5987221543277373,12,0.33116869745530464,0.38512246138068856,0.12358171139675556,0.5479671723309987,2.4116966991536612,0.07504350047765014,1.9471667666713028,1.1304783220826156,30,False
1,0.6579944976459914,0.44173875894478265,0.662608138417174,0.6309326085862399,0.6857139191595029,0.5300865107337391,0.4732915274408386,6,0.11320847858501035,0.8118880462501541,0.1567274064610315,0.23532031973429257,0.24871434861185704,0.11987405578722338,0.0880628735904044,0.8702645874749939,75,False
2,0.6607840687543065,0.6220228559222472,0.6090775988286969,0.6337510695052595,0.6874747668639694,0.6154821664464993,0.6193899689454205,10,68.07277180461602,0.7810002884124545,0.006636015080538864,0.9241721000834682,7.519021769236366,3.4883318350587333,1.302887056327701,1.184030543118648,1375,False
3,0.6571259675744374,0.5000534016874933,0.6405801067177452,0.6321908500679451,0.6833526964009459,0.5616602687140115,0.5229999329773687,10,0.11643240171621397,0.7508671315210005,0.046183681379469835,0.2724717094045437,9.085226582025161,6.60138465701729,0.09409179926403338,1.0212172954028098,724,False
4,0.6593024004985244,0.5602905051799637,0.6284139913751797,0.6366701897428154,0.6856935516969302,0.5924002032635085,0.5727074235807861,8,0.17527894356050008,0.2933009108989059,0.005625578595355331,0.5217250410488937,7.806226191696794,2.4992643650261566,0.02069005994472091,1.0873090883220473,4459,False
5,0.6606679965645265,0.47078927694115136,0.6613653413353339,0.6370224973576929,0.6872190273719787,0.5500374344896432,0.49958066051635425,10,0.7977791239089037,0.40769036533434716,0.06960693223568694,0.2842171968867484,3.8340723575307756,0.09118135736268357,0.11209297226933561,0.9004537508664986,186,False
6,0.6628523306706482,0.449855815443768,0.6636206081613361,0.6332981025718456,0.6900031939353086,0.5362189688096753,0.480832895728213,7,1.7695458920556393,0.7361786386434872,0.024600142136211776,0.9776515704829951,1.1818828699467843,0.07756030796161603,2.5063828464046427,0.8338104229047856,494,False
7,0.6613906728538136,0.5197052226850368,0.6406003159557662,0.6362675524686698,0.6878308238606587,0.5738545904829294,0.5400905700586042,9,39.93275743033128,0.2330516498838426,0.08614689076107976,0.9902721771926466,5.841296709493712,0.10563149738915031,1.9351055181279944,0.984116503414926,148,False
8,0.6618921801029274,0.5917975008010253,0.6203537841468876,0.6369721676984247,0.689402849379041,0.6057392730254167,0.5972964815453604,8,1.3716167273365432,0.3163200640748624,0.012328646791987334,0.25194992065594857,0.7575854302328255,0.004722344310122747,0.3199396685856752,1.1206905349436729,897,False
9,0.6624020056363058,0.48050838406493646,0.6553532410779316,0.6361165634908652,0.6893745880633677,0.5544737490756717,0.5075930229934337,6,0.14144742820121173,0.33238081798000096,0.006589038615480635,0.7297138621640058,5.058273597953521,0.0026751518603735816,0.019981198933743685,0.9241522296650062,1712,False
