trial,prauc,recall,precision,accuracy,ROC-AUC,F1,F2,max_depth,min_child_weight,subsample,learning_rate,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,n_estimators,best_trial
0,0.6628997982788509,0.5110541493111183,0.6472338698769106,0.6383310684986663,0.6909293518141193,0.5711386965862975,0.5335042925632735,12,20.179711894872533,0.5980523649648026,0.030784178598055663,0.7662242108052764,3.0751754356541214,7.861987485783682,0.0016396258324268196,0.9570931432297665,445,False
2,0.6620052548588397,0.6806579087899177,0.5988535989475663,0.6346570033720872,0.6911851370528437,0.6371407148212946,0.6625566598744126,10,5.905029480574896,0.5630559924402649,0.02370695586203862,0.23474166480208414,2.294403620275973,0.016816479172179138,0.1995309199741629,1.1857726370787707,305,False
3,0.6596655767492795,0.5739613371782548,0.6251744997673336,0.6370728270169611,0.6871836600636236,0.5984743025780945,0.5835215427380125,12,3.8553594228384083,0.4366317735887381,0.08905503721838327,0.23683911614114958,6.137634296704119,0.017180034974143176,0.29690573328837433,1.109400430128798,202,False
4,0.6639895944783054,0.6076044002990495,0.6181008257279443,0.6381800795208616,0.6911920854734419,0.6128076695211935,0.6096750685871056,10,32.03134979507548,0.5044881943598917,0.008993603834540937,0.509771407636459,4.749429809728315,1.6206032539984268,0.025842821725880875,1.1448589098851927,1437,False
5,0.6600421128637484,0.5946811919256648,0.6155206721202742,0.6339523881423322,0.6870977121163722,0.6049215057852138,0.5987354294808379,8,0.3125177562798321,0.49989313361983206,0.09211970123874012,0.7040670648469176,6.8173509917494615,1.1608607569337588,2.410010747946475,1.13944146528702,121,False
6,0.6616773371146709,0.597992096550251,0.6198383704195727,0.6377271125874477,0.6889069547824439,0.6087192868014786,0.6022372808432828,10,76.3832435281256,0.9490633766459748,0.009952753754328391,0.7193986337784746,6.107410449498132,0.001950692590474811,0.39922586228467033,1.1372367198470374,817,False
7,0.6587406246015893,0.476983872690377,0.6506410256410257,0.6328451356384317,0.6862405606443206,0.5504406236519381,0.5038812167163101,7,5.319774084512233,0.8862240041023821,0.16927323895309418,0.8235062880875728,5.669257220024704,0.004589285560058167,0.42320604955365776,0.9450292979624224,71,False
8,0.6600915091178553,0.38267649257716546,0.6881121567121183,0.6273592027781972,0.6861696277917632,0.49183253260123544,0.41995827375231487,6,0.3069178102125526,0.9853252832430099,0.09704205153787554,0.402652644707446,7.189581124722837,4.4900034889221905,0.01007518538673275,0.8048267545489383,97,False
9,0.6618725127713437,0.5724660899284417,0.6271940088930493,0.6381800795208616,0.6888871261147387,0.5985817186889274,0.5826340275664159,12,0.7898198966598805,0.7202069132226188,0.009401132428513847,0.5202575380787844,9.107591105049831,0.05890483471650415,0.010660144519524836,1.087731253607357,1292,False
10,0.661364043548595,0.46587632169176546,0.6577201447527141,0.6340530474608687,0.6878007072607731,0.5454204438887152,0.4947373196624626,11,9.134672762085788,0.7532697645596464,0.005883419913719946,0.5141409905781075,9.47420820401802,0.0697610752560964,0.001008003580728099,0.9186452797857422,1891,False
11,0.6582880945197946,0.5549503364306312,0.6271575135787568,0.6348079923498918,0.6862947806900555,0.5888485947416138,0.5680302599645801,10,1.947610361401456,0.28470366960316923,0.05665128052439533,0.2592994250284886,5.61274875032934,0.8593246934089604,1.6910206850083334,1.0464414553881112,297,False
12,0.6611550834794421,0.5555911566805511,0.6306983511154219,0.637274145654034,0.6881341348730423,0.5907671341775027,0.5691466083150984,10,42.681052550004445,0.7812656783451593,0.0805199804710684,0.8395330469150144,7.92833093567546,0.019072982556148085,0.5249448203812737,1.0585267794542903,252,False
13,0.6649790437210527,0.5113745594360782,0.6482534524776604,0.6389853540691529,0.6933858751855462,0.5717356260075228,0.5339221196306704,8,0.83057161540678,0.8219105436229657,0.034781719568847055,0.4556762277039697,1.2348025319274347,5.55403934373619,0.47199624553153036,0.899297416285678,642,False
14,0.662346063197973,0.5413863078073267,0.6346563165143358,0.6370224973576929,0.689934157030727,0.5843227665706052,0.557780761020269,10,0.1762047737495398,0.48873937338659207,0.02610302420871663,0.2507586636129472,3.8665160275902677,0.0015282868081535927,0.07521273999980338,0.9947659433848127,381,False
15,0.6571142811875275,0.5866709388016661,0.6164291325328246,0.6331974432533092,0.683879215894473,0.6011820072233774,0.592390483790954,8,0.11102929196413397,0.23541479488527062,0.006380246360304434,0.2606178200925495,8.805716717237289,0.016243238419752403,0.0012512594277257307,1.1296051461104093,1433,False
