trial,prauc,recall,precision,accuracy,ROC-AUC,F1,F2,max_depth,min_child_weight,subsample,learning_rate,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight,n_estimators,best_trial
0,0.653546241901285,0.4787995300651501,0.6477387660742667,0.631687553475263,0.6793848381782479,0.5506018177352002,0.5051495278660446,8,0.3754350089341946,0.2216430867321945,0.14405572048054488,0.8849402632354775,8.736965762606426,0.07132059426992543,2.287389784860974,0.9380918623761538,149,False
1,0.6576522849185675,0.4099113531987611,0.6754663850756776,0.6291207408525844,0.6840426130623922,0.5102027251578598,0.4448926600825335,9,0.5891821713050513,0.4266323844716026,0.03778737682827361,0.9649246618646543,5.861805104557488,0.14347096130733972,1.430575061529421,0.834191733163101,186,False
2,0.6590612235595301,0.5438427854320197,0.6276346604215457,0.6329961246162363,0.6852424787337158,0.5827420462348364,0.558762207834961,12,0.23945138781272232,0.38142920546570774,0.03626635529779252,0.3987575548292044,4.56154648060958,1.7084202737483356,0.002898972151900108,1.0770757982579728,366,False
3,0.6586929557052688,0.5624265726796966,0.6283259754205942,0.6370224973576929,0.6864923405023344,0.5935527502254283,0.5744769052865839,8,0.48315639442435465,0.9079124920799273,0.012166759945304736,0.9255748265218189,4.426297463886125,0.1608407844634584,0.04571066944513438,1.094511796042126,678,False
5,0.6562002235370479,0.37712271707785966,0.6873661670235546,0.6256479943630782,0.6818689061665154,0.4870344827586207,0.4145436615088403,9,66.07968700368511,0.3300263654929879,0.0544702148429365,0.5946620260416162,8.333035783312718,0.24555675402423266,7.576967042053322,0.8001411970161844,187,False
6,0.6550628948252001,0.47794510306525684,0.6418531267928859,0.6283154663042931,0.679748077412176,0.5479032751760025,0.5036691878264001,11,0.2951970953988689,0.5373963977718168,0.1330993375629403,0.8018549681317875,7.253401502696751,0.1385064262267827,0.042793165531440996,0.9586545586814716,62,False
7,0.6558291464635011,0.5909430738011321,0.6162842503898418,0.6338517288237958,0.6816163486140234,0.6033476909655962,0.595843204824467,8,0.21650245325667933,0.41061495279631527,0.005762374699534835,0.33324735050618526,8.320662512364558,7.297882590262156,0.0034483381403470096,1.1782789054212386,2060,False
8,0.6570814691340422,0.4702552600662181,0.6490271226415094,0.6305299713120942,0.6823519306819461,0.5453644639871184,0.4976715797088344,10,0.10862322787938435,0.20434252399352124,0.009811291991899883,0.6337298457445453,7.992525624634784,0.008145901271378446,5.32468753753294,0.9585299398758552,1362,False
9,0.65461639053862,0.5760974046779879,0.6168801463860933,0.6316372238159947,0.6796217350987994,0.5957916827746176,0.5838167806736514,6,6.1282951195802555,0.30258218201393855,0.1649244496918822,0.4804198486557718,4.938510034835566,0.007210870587084903,0.0014522147112424185,1.1490683119401506,62,False
10,0.6615763557609922,0.5813307700523337,0.6230540293040293,0.6369721676984247,0.688289033314378,0.6014696944582574,0.589222308824803,12,12.190333011122599,0.7152024482953196,0.00650920768735282,0.504639611695374,3.2385994742832303,9.275789657695531,0.0010214879075550042,1.1224164656500901,2128,False
11,0.6555582472423535,0.41001815657374774,0.6729184925503944,0.6280638180079521,0.6836757344216259,0.5095566764003185,0.4447714159927706,6,0.16998943980122966,0.6083748745256949,0.09381845210092138,0.32913417064263406,1.0253048591309077,1.0053873256477552,0.09293040842771183,0.8236995470451074,125,False
