feature,value,recall,precision,accuracy,roc_auc,prauc,f1,f2,tp,tn,fp,fn,size
time_in_hospital,1,0.4426086956521739,0.6467598475222364,0.6741134751773049,0.7087175214787816,0.6380500560412908,0.5255549819308208,0.4724336365323928,0.18049645390070923,0.49361702127659574,0.09858156028368795,0.2273049645390071,2820
time_in_hospital,2,0.5540631296171927,0.6425233644859814,0.6690244621279104,0.7146994627266622,0.6640383823758076,0.5950234403173459,0.5697513812154696,0.24314765694076038,0.42587680518715,0.13527851458885942,0.1956970232832302,3393
time_in_hospital,3,0.5396435156730178,0.661144578313253,0.660436137071651,0.7210551783712871,0.6836504184925438,0.5942470389170896,0.5602348136804493,0.248654772019258,0.4117813650523931,0.1274426508071368,0.21212121212121213,3531
time_in_hospital,4,0.5747973470891673,0.657672849915683,0.6351150705270973,0.692291114688843,0.6916143856203413,0.6134486826582777,0.5896583005745388,0.289532293986637,0.34558277654046027,0.15070527097253156,0.21417965850037118,2694
time_in_hospital,5,0.5793991416309013,0.627906976744186,0.6270298585646935,0.682470424923454,0.6665805177150964,0.6026785714285714,0.5884917175239756,0.2828706128863279,0.34415924567836564,0.1676270298585647,0.20534311157674176,1909
time_in_hospital,6,0.6052998605299861,0.6271676300578035,0.6364247311827957,0.6924206820825352,0.6735237429100448,0.6160397444996452,0.6095505617977528,0.2916666666666667,0.34475806451612906,0.17338709677419356,0.19018817204301075,1488
time_in_hospital,7,0.6357142857142857,0.6223776223776224,0.6293027360988526,0.6789017701321366,0.6648546884356157,0.6289752650176679,0.6330014224751067,0.3142100617828773,0.31509267431597526,0.19064430714916153,0.18005295675198588,1133
time_in_hospital,8,0.5840336134453782,0.6650717703349283,0.6078886310904872,0.6546947794661906,0.6900264259242834,0.6219239373601789,0.5986218776916451,0.3225058004640371,0.2853828306264501,0.16241299303944315,0.2296983758700696,862
time_in_hospital,9,0.6148409893992933,0.6126760563380281,0.6046931407942239,0.6692136179312322,0.6949859617211246,0.6137566137566137,0.614406779661017,0.3140794223826715,0.29061371841155237,0.19855595667870035,0.1967509025270758,554
time_in_hospital,10,0.6286919831223629,0.6563876651982379,0.6335540838852097,0.681669010782935,0.7009909469073556,0.6422413793103449,0.6340425531914894,0.32891832229580575,0.304635761589404,0.17218543046357615,0.19426048565121412,453
time_in_hospital,11,0.6136363636363636,0.6792452830188679,0.6590257879656161,0.7227404098791382,0.7248775265319671,0.6447761194029851,0.6257242178447276,0.30945558739255014,0.3495702005730659,0.14613180515759314,0.19484240687679083,349
time_in_hospital,12,0.6013513513513513,0.6496350364963503,0.6094890510948905,0.6549764049764051,0.6755127419334503,0.624561403508772,0.6104252400548696,0.3248175182481752,0.2846715328467153,0.17518248175182483,0.21532846715328466,274
