comparison,model_a_prauc,model_b_prauc,observed_diff,ci_lower,ci_upper,ci_ex_zero,prob_b_better
m1 - m0,0.6661044018064348,0.6473182549385176,-0.0187861468679172,-0.0228043052797308,-0.0147703730591998,True,0.0
m2 - m1,0.6473182549385176,0.649600046440179,0.0022817915016614,0.0003711344099909,0.0042231665285791,True,0.9904
m3 - m2,0.649600046440179,0.6596712683170298,0.0100712218768508,0.0067774774715054,0.0132185878896418,True,1.0
m4 - m3,0.6596712683170298,0.6602910120404388,0.000619743723409,-0.0021624003022728,0.0033878902562678,False,0.6684
m5 - m4,0.6602910120404388,0.6619108073967801,0.0016197953563412,-0.0002105252696513,0.0033995576959618,False,0.9564
m6 - m5,0.6619108073967801,0.6623033439367225,0.0003925365399424,-0.001618546910909,0.0024979413705998,False,0.6634
m7 - m6,0.6623033439367225,0.6634010744831839,0.0010977305464613,-0.0016208001640687,0.0036801271354759,False,0.7812
m8 - m7,0.6634010744831839,0.6699172079833997,0.0065161335002158,0.0036379937324657,0.0094255616589041,True,1.0
m9 - m8,0.6699172079833997,0.6733023189834823,0.0033851110000825,0.001404312989967,0.0053713084472305,True,0.9994
