number,value,datetime_start,datetime_complete,duration,params_LeakyReLU_alpha,params_batch_size,params_dense_units,params_dropout_rate,params_embedding_dim,params_filters_l1,params_filters_l2,params_filters_l3,params_filters_l4,params_kernel_regularizer,params_kernel_size,params_learning_rate,params_n_conv_layers,params_pooling_type,params_positive_class_weight,user_attrs_best_epoch,user_attrs_best_val_pr_auc,user_attrs_best_val_precision,user_attrs_best_val_recall,user_attrs_best_val_roc_auc,state
16,0.6476249694824219,2026-07-24 15:32:10.719787,2026-07-24 15:32:49.140342,0 days 00:00:38.420555,0.2,256,64,0.0,6,64,64.0,,,7.32861624441902e-07,5,0.00020453412881102663,2,average,1.3,7,0.6476249694824219,0.5693315863609314,0.6959307789802551,0.6723133325576782,COMPLETE
17,0.654323935508728,2026-07-24 15:32:49.145349,2026-07-24 15:34:01.688542,0 days 00:01:12.543193,0.2,256,64,0.1,7,32,64.0,128.0,32.0,1.1343601333281082e-07,5,0.0010468268041578846,4,average,1.3,10,0.654323935508728,0.5706316232681274,0.7101356387138367,0.6783499121665955,COMPLETE
18,0.6537298560142517,2026-07-24 15:34:01.695515,2026-07-24 15:35:20.847032,0 days 00:01:19.151517,0.2,256,128,0.15000000000000002,5,32,64.0,16.0,32.0,1.0868465519646153e-07,5,0.0012071124356329253,4,average,1.2,29,0.6537298560142517,0.5937562584877014,0.6337712407112122,0.6780561208724976,COMPLETE
19,0.6519386172294617,2026-07-24 15:35:20.852745,2026-07-24 15:36:59.184372,0 days 00:01:38.331627,0.3,256,64,0.35000000000000003,7,32,64.0,64.0,32.0,3.674487617993674e-07,5,0.000863300641551987,4,average,1.35,30,0.6519386172294617,0.5742737650871277,0.7052226662635803,0.6759685277938843,COMPLETE
20,0.6550909280776978,2026-07-24 15:36:59.190048,2026-07-24 15:38:26.629177,0 days 00:01:27.439129,0.2,256,64,0.1,5,32,64.0,128.0,64.0,3.134133109630341e-07,5,0.00018821227422721848,4,average,1.3,14,0.6550909280776978,0.5779408812522888,0.6810851097106934,0.6791688799858093,COMPLETE
21,0.6523373126983643,2026-07-24 15:38:26.636131,2026-07-24 15:39:35.363085,0 days 00:01:08.726954,0.2,256,64,0.1,5,32,64.0,128.0,64.0,3.7448066817680425e-07,5,0.002997244277874756,4,average,1.3,9,0.6523373126983643,0.5890583992004395,0.6474420428276062,0.6763564348220825,COMPLETE
22,0.6538593769073486,2026-07-24 15:39:35.368752,2026-07-24 15:41:20.573408,0 days 00:01:45.204656,0.2,256,64,0.2,5,32,64.0,128.0,16.0,1.0910984393503821e-06,5,0.0001690944502626814,4,average,1.35,29,0.6538593769073486,0.5775548219680786,0.6947559714317322,0.6778302192687988,COMPLETE
23,0.6534615159034729,2026-07-24 15:41:20.579724,2026-07-24 15:42:40.350221,0 days 00:01:19.770497,0.2,256,64,0.05,7,32,64.0,128.0,64.0,1.8062956398990348e-07,5,0.0007657219473053258,4,average,1.2,10,0.6534615159034729,0.593097984790802,0.6406066417694092,0.6779998540878296,COMPLETE
24,0.650827169418335,2026-07-24 15:42:40.355852,2026-07-24 15:44:23.630195,0 days 00:01:43.274343,0.2,256,64,0.2,6,32,64.0,128.0,,1.6056090045805426e-06,5,6.884806606791938e-05,3,average,1.3,30,0.650827169418335,0.5688762068748474,0.7039410471916199,0.673058032989502,COMPLETE
25,0.6536481380462646,2026-07-24 15:44:23.634950,2026-07-24 15:46:31.121759,0 days 00:02:07.486809,0.2,256,128,0.1,7,32,64.0,128.0,64.0,3.501520903907005e-07,5,0.00022827061617111823,4,average,1.35,26,0.6536481380462646,0.5783599019050598,0.6862117052078247,0.678338348865509,COMPLETE
