threshold,precision,recall,f1_score,accuracy,score
0.05,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.055,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.06,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.065,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.07,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.075,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.08,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.08499999999999999,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.09,0.4712603180994564,1.0,0.6406212582532244,0.47128692938748806,0.6406212582532244
0.095,0.4712603180994564,1.0,0.6406212582532244,0.47128692938748806,0.6406212582532244
0.09999999999999999,0.4712603180994564,1.0,0.6406212582532244,0.47128692938748806,0.6406212582532244
0.105,0.4712840388584084,1.0,0.64064317482039,0.4713372590467563,0.64064317482039
0.10999999999999999,0.4712840388584084,1.0,0.64064317482039,0.4713372590467563,0.64064317482039
0.11499999999999999,0.47128114774729424,0.9998931966250133,0.6406185849185713,0.4713372590467563,0.6406185849185713
0.12,0.4713286009162765,0.9998931966250133,0.6406624238691576,0.47143791836529264,0.6406624238691576
0.12499999999999999,0.47139691811864237,0.9997863932500267,0.640703603572773,0.4715889073430973,0.640703603572773
0.13,0.47141777889700326,0.99967958987504,0.640700937778082,0.4716392370023655,0.640700937778082
0.135,0.4714832728738412,0.9994659831250667,0.6407175379137996,0.4717902259801701,0.6407175379137996
0.13999999999999999,0.47169716215535057,0.9994659831250667,0.6409150058215191,0.47224319291358396,0.6409150058215191
0.145,0.4717418704310562,0.9993591797500802,0.6409343105692171,0.4723438522321204,0.6409343105692171
0.14999999999999997,0.47173617064192425,0.9991455730001068,0.6408851133794615,0.4723438522321204,0.6408851133794615
0.15499999999999997,0.4718256570650255,0.9989319662501335,0.6409237305557459,0.47254517086919323,0.6409237305557459
0.15999999999999998,0.4719685118837362,0.9989319662501335,0.6410555174777245,0.47284714882480244,0.6410555174777245
0.16499999999999998,0.4720609762253294,0.9988251628751469,0.64111880441489,0.4730484674618753,0.64111880441489
0.16999999999999998,0.47236815518286523,0.9987183595001602,0.6413800198909427,0.473702753032362,0.6413800198909427
0.175,0.47261694058154236,0.9981843426252269,0.6414990733749742,0.47425637928431225,0.6414990733749742
0.18,0.47311664641555284,0.9980775392502403,0.6419371458011335,0.47531330212894457,0.6419371458011335
0.185,0.473825707618951,0.9976503257502937,0.6425009457646937,0.4768231919069908,0.6425009457646937
