threshold,precision,recall,f1_score,accuracy,pr_auc,score
0.05,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.055,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.06,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.065,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.07,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.075,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.08,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.08499999999999999,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.09,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.095,0.471233704132481,0.9998931966250133,0.6405747519671571,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.09999999999999999,0.471233704132481,0.9998931966250133,0.6405747519671571,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.105,0.471233704132481,0.9998931966250133,0.6405747519671571,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.10999999999999999,0.471233704132481,0.9998931966250133,0.6405747519671571,0.47123659972821985,0.6567724944512412,0.6567724944512412
0.11499999999999999,0.47125742474579685,0.9998931966250133,0.6405966676930446,0.47128692938748806,0.6567724944512412,0.6567724944512412
0.12,0.47125742474579685,0.9998931966250133,0.6405966676930446,0.47128692938748806,0.6567724944512412,0.6567724944512412
0.12499999999999999,0.4713760636423141,0.9998931966250133,0.6407062688201478,0.47153857768382906,0.6567724944512412,0.6567724944512412
0.13,0.4713997985901309,0.9998931966250133,0.6407281935461794,0.4715889073430973,0.6567724944512412,0.6567724944512412
0.135,0.4714443996776793,0.9997863932500267,0.640747458845272,0.4716895666616337,0.6567724944512412,0.6567724944512412
0.13999999999999999,0.47149189080286086,0.9997863932500267,0.6407913201218469,0.4717902259801701,0.6567724944512412,0.6567724944512412
0.145,0.47158403869407495,0.99967958987504,0.6408544726301736,0.47199154461724296,0.6567724944512412,0.6567724944512412
0.14999999999999997,0.4716524719044499,0.9995727865000534,0.6408957063617065,0.47214253359504754,0.6567724944512412,0.6567724944512412
0.15499999999999997,0.47176850171405527,0.9994659831250667,0.6409808555087503,0.4723941818913886,0.6567724944512412,0.6567724944512412
0.15999999999999998,0.47185797861609846,0.9992523763750935,0.6410194923092734,0.47259550052846144,0.6567724944512412,0.6567724944512412
0.16499999999999998,0.47201897360851797,0.9990387696251202,0.6411240575736806,0.47294780814333887,0.6567724944512412,0.6567724944512412
0.16999999999999998,0.47223344103392567,0.9990387696251202,0.6413218607521168,0.4734007750767527,0.6567724944512412,0.6567724944512412
0.175,0.47263631310323917,0.9989319662501335,0.6416712403951701,0.47425637928431225,0.6567724944512412,0.6567724944512412
0.18,0.4728964401294498,0.9988251628751469,0.6418888774494663,0.4748100055362625,0.6567724944512412,0.6567724944512412
0.185,0.47322332455962746,0.9985047527501869,0.6421236993028607,0.4755146207660174,0.6567724944512412,0.6567724944512412
0.19,0.4734735241955916,0.9979707358752536,0.6422434531582927,0.4760682470179677,0.6567724944512412,0.6567724944512412
0.195,0.4738737824675325,0.9976503257502937,0.6425451418744625,0.4769238512255272,0.6567724944512412,0.6567724944512412
0.19999999999999996,0.4744169503582135,0.9972231122503471,0.6429555157691778,0.47808143338869596,0.6567724944512412,0.6567724944512412
0.20499999999999996,0.4748893298733018,0.9967958987504005,0.6433002481389578,0.4790880265740601,0.6567724944512412,0.6567724944512412
0.20999999999999996,0.4753797532877969,0.996048275125494,0.6435940788792657,0.48014494941869246,0.6567724944512412,0.6567724944512412
0.21499999999999997,0.4761442582754393,0.9955142582505607,0.6441825909672069,0.48175549851527505,0.6567724944512412,0.6567724944512412
0.21999999999999997,0.4768388186517889,0.9949802413756275,0.6447058823529411,0.48321505863405306,0.6567724944512412,0.6567724944512412
0.22499999999999998,0.47748025033343594,0.9941258143757342,0.6451121045153689,0.48457395943429465,0.6567724944512412,0.6567724944512412
0.22999999999999998,0.4781021897810219,0.9933781907508277,0.645521740639206,0.485882530575268,0.6567724944512412,0.6567724944512412
0.235,0.4786888625470288,0.9919897468760013,0.6457623583397066,0.48714077205697315,0.6567724944512412,0.6567724944512412
0.24,0.47956389190306414,0.9912421232510947,0.6463992199470678,0.48895263979062864,0.6567724944512412,0.6567724944512412
0.245,0.48035047698050604,0.9895332692513084,0.6467488045792468,0.49061351854647944,0.6567724944512412,0.6567724944512412
0.24999999999999994,0.48155663076843036,0.9885720388764285,0.6476350405821438,0.49307967185062157,0.6567724944512412,0.6567724944512412
0.25499999999999995,0.48275681889434635,0.9867563815016555,0.6483281288375846,0.4955458251547637,0.6567724944512412,0.6567724944512412
0.25999999999999995,0.4839099165310515,0.9845135106269358,0.6488807546107279,0.4979113191403694,0.6567724944512412,0.6567724944512412
0.26499999999999996,0.4856373429084381,0.9822706397522162,0.6499416981732095,0.5013840656298757,0.6567724944512412,0.6567724944512412
0.26999999999999996,0.4867129899750703,0.9800277688774965,0.650411114261412,0.5035482409784086,0.6567724944512412,0.6567724944512412
0.27499999999999997,0.4880051178163983,0.9776780946277902,0.6510437039934569,0.5061150536010871,0.6567724944512412,0.6567724944512412
0.27999999999999997,0.48918166238217653,0.9755420271280573,0.6516140538612448,0.5084302179274246,0.6567724944512412,0.6567724944512412
0.285,0.4903038138332256,0.9721243191284845,0.6518423031474917,0.5106447229352258,0.6567724944512412,0.6567724944512412
0.29,0.49181926535919385,0.9695610381288049,0.6526005535386938,0.5135638431727817,0.6567724944512412,0.6567724944512412
0.295,0.49315591427169114,0.9658229200042722,0.6529241877256318,0.5161306557954602,0.6567724944512412,0.6567724944512412
0.3,0.49448559670781894,0.962512015379686,0.6533275337103088,0.5186471387588706,0.6567724944512412,0.6567724944512412
0.30499999999999994,0.49577278001878766,0.95823988038022,0.6534595775673707,0.5210629624037445,0.6567724944512412,0.6567724944512412
0.30999999999999994,0.49741364925746706,0.9551425825056071,0.6541584375685758,0.524082741959837,0.6567724944512412,0.6567724944512412
0.31499999999999995,0.4992999943999552,0.9522588913809676,0.6551065393093314,0.527505158790075,0.6567724944512412,0.6567724944512412
0.31999999999999995,0.5006772773450728,0.9474527395065684,0.6551456740888446,0.5299713120942171,0.6567724944512412,0.6567724944512412
0.32499999999999996,0.5030134182397089,0.9448894585068888,0.656524804274424,0.5340983441542101,0.6567724944512412,0.6567724944512412
0.32999999999999996,0.5046455609084652,0.9397628965075296,0.6566662935184149,0.5369168050732297,0.6567724944512412,0.6567724944512412
0.33499999999999996,0.5061264593688591,0.9352771547580904,0.6568160510031877,0.53943328803664,0.6567724944512412,0.6567724944512412
0.33999999999999997,0.5081077928138125,0.9303641995087045,0.6572603463236126,0.5427550455483416,0.6567724944512412,0.6567724944512412
0.3449999999999999,0.5093251750308878,0.9245968172594254,0.6568285280728376,0.5447179022598017,0.6567724944512412,0.6567724944512412
0.3499999999999999,0.5109159943046986,0.9197906653850262,0.6569281818528548,0.5472847148824802,0.6567724944512412,0.6567724944512412
0.3549999999999999,0.5122710403447863,0.9140232831357471,0.6565652690935594,0.549398560571745,0.6567724944512412,0.6567724944512412
0.35999999999999993,0.5139090469279148,0.9076150806365482,0.6562415537279431,0.5519150435351553,0.6567724944512412,0.6567724944512412
0.36499999999999994,0.5157155935306683,0.9024885186371889,0.6563616591579928,0.5546831747949066,0.6567724944512412,0.6567724944512412
0.36999999999999994,0.5180864197530864,0.8964007262629499,0.6566521926221492,0.5582565806029494,0.6567724944512412,0.6567724944512412
0.37499999999999994,0.520307423144214,0.8893517035138311,0.6565222533212441,0.5614776787961145,0.6567724944512412,0.6567724944512412
0.37999999999999995,0.5233065587249384,0.8836911246395386,0.6573448796377215,0.5658563591524486,0.6567724944512412,0.6567724944512412
0.38499999999999995,0.5255245649948823,0.8773897255153262,0.6573314662932587,0.5689264683678091,0.6567724944512412,0.6567724944512412
0.38999999999999996,0.5281343186827434,0.8701270960162341,0.6573076767921255,0.5724495445165836,0.6567724944512412,0.6567724944512412
0.39499999999999996,0.530423367246472,0.8630780732671153,0.6570452882348159,0.5754189944134078,0.6567724944512412,0.6567724944512412
0.3999999999999999,0.5327339327339328,0.85432019651821,0.6562474362129789,0.5782374553324274,0.6567724944512412,0.6567724944512412
0.4049999999999999,0.5350829847523951,0.8470575670191178,0.6558610709117222,0.5811062459107151,0.6567724944512412,0.6567724944512412
0.4099999999999999,0.5370053987562359,0.8392609206450924,0.6549424904150691,0.5832704212592481,0.6567724944512412,0.6567724944512412
0.4149999999999999,0.5389515961498511,0.8312506675210937,0.6539237103007898,0.5853842669485128,0.6567724944512412,0.6567724944512412
0.41999999999999993,0.5416520457575971,0.8243084481469615,0.6537353887853634,0.5885047058231416,0.6567724944512412,0.6567724944512412
0.42499999999999993,0.5435091710507607,0.816511801772936,0.6526100132314653,0.5903669032160652,0.6567724944512412,0.6567724944512412
0.42999999999999994,0.5459205776173285,0.8075403182740575,0.6514453108172145,0.5927827268609391,0.6567724944512412,0.6567724944512412
0.43499999999999994,0.5486784140969163,0.7981416212752322,0.6503067484662577,0.5955005284614223,0.6567724944512412,0.6567724944512412
0.43999999999999995,0.5519916455318514,0.7903449749012069,0.6500065879046072,0.5989229452916603,0.6567724944512412,0.6567724944512412
0.44499999999999995,0.5556737858174355,0.7808394745273951,0.6492895204262877,0.602496351099703,0.6567724944512412,0.6567724944512412
0.4499999999999999,0.5575659166473362,0.7701591370287301,0.6468424829565841,0.60370426292214,0.6567724944512412,0.6567724944512412
0.4549999999999999,0.5611141797522291,0.7594787995300651,0.645398438918134,0.6067240424782324,0.6567724944512412,0.6567724944512412
0.4599999999999999,0.5641025641025641,0.7495460856563068,0.6437350944780774,0.6090392068045699,0.6567724944512412,0.6567724944512412
0.4649999999999999,0.566688567674113,0.7369432874078821,0.6406982682575793,0.6104987669233479,0.6567724944512412,0.6567724944512412
0.4699999999999999,0.5701555275325767,0.7243404891594575,0.6380656693950513,0.6127636015904172,0.6567724944512412,0.6567724944512412
0.4749999999999999,0.573592700981236,0.7117376909110328,0.635241408893761,0.6148271176204138,0.6567724944512412,0.6567724944512412
0.4799999999999999,0.5765655148219611,0.7021253871622343,0.6331808331326751,0.6166389853540691,0.6567724944512412,0.6567724944512412
0.48499999999999993,0.580407650175092,0.6903770159137028,0.6306341463414634,0.6189038200211384,0.6567724944512412,0.6567724944512412
0.48999999999999994,0.5831042697452813,0.6796966784150379,0.627706268185629,0.6200614021843072,0.6567724944512412,0.6567724944512412
0.49499999999999994,0.5884068881151783,0.6678415037915199,0.6256128064032016,0.6233328300367407,0.6567724944512412,0.6567724944512412
0.49999999999999994,0.5915997290235169,0.6528890312933888,0.6207351746547523,0.6240374452664955,0.6567724944512412,0.6567724944512412
0.5049999999999999,0.5967661938299772,0.6425291039196839,0.6188027154906398,0.6269565655040515,0.6567724944512412,0.6567724944512412
0.5099999999999999,0.6005920179646831,0.6284310584214461,0.61419624217119,0.6279631586894157,0.6567724944512412,0.6567724944512412
0.5149999999999999,0.6054863365092661,0.6176439175477945,0.6115047055091467,0.6301776636972167,0.6567724944512412,0.6567724944512412
0.5199999999999999,0.6076708806513821,0.6057887429242764,0.6067283521420549,0.6299260154008758,0.6567724944512412,0.6567724944512412
0.5249999999999999,0.6120831957741829,0.594040371675745,0.6029268292682927,0.6312849162011173,0.6567724944512412,0.6567724944512412
0.5299999999999999,0.6157942442782688,0.5804763430524404,0.5976139424927154,0.6316372238159947,0.6567724944512412,0.6567724944512412
0.5349999999999999,0.6212562638387135,0.569368792053829,0.5941818992420865,0.6334994212089184,0.6567724944512412,0.6567724944512412
0.5399999999999999,0.6257940788685126,0.5576204208052975,0.5897435897435898,0.6344053550757461,0.6567724944512412,0.6567724944512412
0.5449999999999999,0.6285749506903353,0.5445904090569262,0.5835765379113018,0.6337510695052595,0.6567724944512412,0.6567724944512412
