number,value,datetime_start,datetime_complete,duration,params_LeakyReLU_alpha,params_batch_size,params_dense_units,params_dropout_rate,params_embedding_dim,params_filters_l1,params_filters_l2,params_filters_l3,params_kernel_regularizer,params_kernel_size,params_learning_rate,params_n_conv_layers,params_positive_class_weight,user_attrs_best_epoch,user_attrs_best_val_pr_auc,user_attrs_best_val_precision,user_attrs_best_val_recall,user_attrs_best_val_roc_auc,state
19,0.6482452750205994,2026-07-22 23:05:20.525628,2026-07-22 23:07:23.126193,0 days 00:02:02.600565,0.2,128,64,0.1,7,128,16.0,,3.1585622053449945e-06,3,0.00014020639266658545,2,1.25,28,0.6482452750205994,0.5854892134666443,0.6429563164710999,0.6705957651138306,COMPLETE
20,0.6520236730575562,2026-07-22 23:07:23.131903,2026-07-22 23:11:42.004648,0 days 00:04:18.872745,0.05,512,32,0.35000000000000003,5,128,128.0,16.0,1.0750498023638098e-07,5,0.0009027578926646999,3,1.05,29,0.6520236730575562,0.6277666091918945,0.5331624746322632,0.674717903137207,COMPLETE
21,0.6529873013496399,2026-07-22 23:11:42.009558,2026-07-22 23:16:00.188461,0 days 00:04:18.178903,0.05,512,32,0.35000000000000003,5,128,128.0,16.0,1.1492088621644149e-07,5,0.0016661662354081426,3,1.05,30,0.6529873013496399,0.6379861235618591,0.5115881562232971,0.6761289834976196,COMPLETE
22,0.6514835953712463,2026-07-22 23:16:00.194379,2026-07-22 23:20:11.269064,0 days 00:04:11.074685,0.05,512,32,0.4,5,128,128.0,16.0,3.7761225827165966e-07,5,0.0009201086667228112,3,1.05,29,0.6514835953712463,0.6331078410148621,0.5097724795341492,0.6742584705352783,COMPLETE
23,0.6495555639266968,2026-07-22 23:20:11.274061,2026-07-22 23:24:26.739772,0 days 00:04:15.465711,0.05,512,32,0.4,5,128,128.0,16.0,7.622438339265057e-07,5,0.00035008462722309385,3,1.0,30,0.6495555639266968,0.6264545917510986,0.5174623727798462,0.6717387437820435,COMPLETE
24,0.6503490209579468,2026-07-22 23:24:26.745144,2026-07-22 23:29:20.775175,0 days 00:04:54.030031,0.05,512,32,0.5,6,128,128.0,16.0,2.6866837997183084e-07,5,0.001706546639471878,3,1.1,27,0.6503490209579468,0.6257558465003967,0.5194916129112244,0.6726069450378418,COMPLETE
25,0.6503320336341858,2026-07-22 23:29:20.780878,2026-07-22 23:34:55.947841,0 days 00:05:35.166963,0.2,512,32,0.30000000000000004,7,128,128.0,16.0,1.0432521000176451e-07,5,0.0007814587652649012,3,1.05,26,0.6503320336341858,0.6211782097816467,0.5338032841682434,0.6723080277442932,COMPLETE
26,0.6479649543762207,2026-07-22 23:34:55.953251,2026-07-22 23:36:27.571087,0 days 00:01:31.617836,0.3,512,32,0.4,4,16,128.0,32.0,2.5935726791915526e-07,3,0.0013751589004614624,3,1.0,27,0.6479649543762207,0.6664352416992188,0.4101249575614929,0.669960618019104,COMPLETE
27,0.6452827453613281,2026-07-22 23:36:27.576911,2026-07-22 23:39:42.940034,0 days 00:03:15.363123,0.1,512,32,0.30000000000000004,8,64,128.0,,1.7713600226123865e-06,5,0.00017772869357592596,2,1.1,30,0.6452827453613281,0.6118885278701782,0.546406090259552,0.6686081290245056,COMPLETE
28,0.6447734832763672,2026-07-22 23:39:42.944891,2026-07-22 23:41:22.303054,0 days 00:01:39.358163,0.05,512,32,0.45,5,32,32.0,128.0,6.520154618642702e-07,3,0.00041844960007007874,3,1.05,30,0.6447734832763672,0.6535458564758301,0.4291359484195709,0.6673282980918884,COMPLETE
29,0.6459482312202454,2026-07-22 23:41:22.307338,2026-07-22 23:42:35.514309,0 days 00:01:13.206971,0.05,512,256,0.35000000000000003,7,16,64.0,16.0,2.0675061352300287e-07,5,0.0010361233635030366,3,1.15,18,0.6459482312202454,0.6162704229354858,0.5315604209899902,0.6683694124221802,COMPLETE
