threshold,precision,recall,f1_score,accuracy,score
0.05,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.055,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.06,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.065,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.07,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.075,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.08,0.47123659972821985,1.0,0.6405993431855501,0.47123659972821985,0.6405993431855501
0.08499999999999999,0.4712603180994564,1.0,0.6406212582532244,0.47128692938748806,0.6406212582532244
0.09,0.4712603180994564,1.0,0.6406212582532244,0.47128692938748806,0.6406212582532244
0.095,0.4712603180994564,1.0,0.6406212582532244,0.47128692938748806,0.6406212582532244
0.09999999999999999,0.4712603180994564,1.0,0.6406212582532244,0.47128692938748806,0.6406212582532244
0.105,0.4712840388584084,1.0,0.64064317482039,0.4713372590467563,0.64064317482039
0.10999999999999999,0.4713789457785833,1.0,0.6407308560870458,0.47153857768382906,0.6407308560870458
0.11499999999999999,0.4714501510574018,1.0,0.6407966327892414,0.4716895666616337,0.6407966327892414
0.12,0.47156887433895744,1.0,0.6409062906427545,0.47194121495797475,0.6409062906427545
0.12499999999999999,0.4717770386049793,0.9997863932500267,0.6410546139359699,0.4723941818913886,0.6410546139359699
0.13,0.47184554116045774,0.99967958987504,0.6410958904109589,0.47254517086919323,0.6410958904109589
0.135,0.4719378750441228,0.9995727865000534,0.6411591422895115,0.472746489506266,0.6411591422895115
0.13999999999999999,0.4722712822324267,0.9995727865000534,0.6414667580534613,0.4734511047360209,0.6414667580534613
0.145,0.4725785274214726,0.9994659831250667,0.6417280987484999,0.4741053903065076,0.6417280987484999
0.14999999999999997,0.4725940894165193,0.9991455730001068,0.6416763838397695,0.4741557199657758,0.6416763838397695
0.15499999999999997,0.4729681889445203,0.9988251628751469,0.641954969796815,0.47496099451406715,0.641954969796815
0.15999999999999998,0.4731754226136249,0.9985047527501869,0.6420795989148724,0.475413961447481,0.6420795989148724
0.16499999999999998,0.4735028878305806,0.9981843426252269,0.6423146970894471,0.4761185766772359,0.6423146970894471
0.16999999999999998,0.47383897789495033,0.9981843426252269,0.6426238525801905,0.4768231919069908,0.6426238525801905
0.175,0.47430950446791226,0.9977571291252804,0.642967755256547,0.4778297850923549,0.642967755256547
0.18,0.47482197355035605,0.9970095055003738,0.6432829135513214,0.4789370375962555,0.6432829135513214
0.185,0.4751617669536862,0.996048275125494,0.6433942738875474,0.47969198248527856,0.6433942738875474
