threshold,precision,recall,f1_score,accuracy,pr_auc,score
0.05,0.4718512171765536,0.9998931966250133,0.6411450486234762,0.47254517086919323,0.6662342160619517,0.6662342160619517
0.055,0.4719435341567935,0.9997863932500267,0.641208301938489,0.472746489506266,0.6662342160619517,0.6662342160619517
0.06,0.47210733380409564,0.99967958987504,0.6413374901503991,0.4730987971211435,0.6662342160619517,0.6662342160619517
0.065,0.47229791099000906,0.99967958987504,0.6415133134573866,0.47350143439528913,0.6662342160619517,0.6662342160619517
0.07,0.4725124943207633,0.99967958987504,0.6417112299465241,0.473954401328703,0.6662342160619517,0.6662342160619517
0.075,0.47287056683843587,0.99967958987504,0.6420413622800699,0.4747093462177261,0.6662342160619517,0.6662342160619517
0.08,0.4730617608409987,0.99967958987504,0.6422175717863392,0.4751119834918718,0.6662342160619517,0.6662342160619517
0.08499999999999999,0.47324769899868513,0.9994659831250667,0.6423447849812952,0.4755146207660174,0.6662342160619517,0.6662342160619517
0.09,0.4734844651351078,0.9993591797500802,0.6425407725321889,0.47601791735869947,0.6662342160619517,0.6662342160619517
0.095,0.47366555251696546,0.9989319662501335,0.6426191212339826,0.47642055463284516,0.6662342160619517,0.6662342160619517
0.09999999999999999,0.47404177651591967,0.9986115561251736,0.6428988895382817,0.47722582918113643,0.6662342160619517,0.6662342160619517
0.105,0.47421007252624636,0.9986115561251736,0.6430536451169189,0.4775781367960139,0.6662342160619517,0.6662342160619517
0.10999999999999999,0.4745633631194151,0.9982911460002136,0.64331188272136,0.47833308168503696,0.6662342160619517,0.6662342160619517
0.11499999999999999,0.47491995731056563,0.9980775392502403,0.643595041322314,0.4790880265740601,0.6662342160619517,0.6662342160619517
0.12,0.4750813669650122,0.9977571291252804,0.6436765769800531,0.47944033418893756,0.6662342160619517,0.6662342160619517
0.12499999999999999,0.4752888481702041,0.9973299156253338,0.6437780075835918,0.4798933011223514,0.6662342160619517,0.6662342160619517
0.13,0.47554015491235224,0.9966890953754138,0.6438748404457171,0.48044692737430167,0.6662342160619517,0.6662342160619517
0.135,0.4760155133700755,0.9962618818754673,0.6442211402327428,0.48145352055966584,0.6662342160619517,0.6662342160619517
0.13999999999999999,0.47628781684382665,0.995407454875574,0.6442915903356261,0.4820574764708843,0.6662342160619517,0.6662342160619517
0.145,0.4765876874264367,0.9946598312506675,0.6444090783282591,0.482711762041371,0.6662342160619517,0.6662342160619517
0.14999999999999997,0.4770910209102091,0.9942326177507209,0.6447792207792208,0.48376868488600333,0.6662342160619517,0.6662342160619517
0.15499999999999997,0.47766252439149637,0.9934849941258144,0.6451433921697819,0.4849765967084403,0.6662342160619517,0.6662342160619517
0.15999999999999998,0.4780058651026393,0.9923101570009613,0.6452083333333334,0.4857315415974634,0.6662342160619517,0.6662342160619517
0.16499999999999998,0.47829896907216496,0.9910285165011214,0.645203907798213,0.4863858271679501,0.6662342160619517,0.6662342160619517
0.16999999999999998,0.4789751007335469,0.9902808928762149,0.6456599700567529,0.48779505762745984,0.6662342160619517,0.6662342160619517
0.175,0.4797598095040895,0.9898536793762683,0.6462815104075869,0.4894056067240425,0.6662342160619517,0.6662342160619517
0.18,0.48016387491572887,0.9888924490013884,0.6464427843328912,0.490261210931602,0.6662342160619517,0.6662342160619517
